year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
2025,0.0,7.5059,1.1097801,16.3716,12.42,0.2672,8.7544849,0.0,0.0,0.0
2030,6.3585528,5.04524,20.319776,16.3327,12.42,22.841015,19.183901000000002,0.0,0.0,0.0
2035,6.3585528,2.81574,23.24223,15.903979999999999,12.42,26.447484,22.07531,0.0,0.0,0.0
2040,6.3585528,2.4444,26.362643,5.02332,12.42,30.069483,24.808373,0.0,0.0,0.0
2045,6.3585528,2.35704,29.691799,0.6888,12.42,33.589354,27.457099,0.0,0.0,0.0
2050,6.3585528,2.2556,32.80798,0.6888,12.42,37.171258,30.240544999999997,0.0,0.0,0.0
2025,0.0,7.5059,1.348479,16.3716,12.42,0.2672,8.689589900000001,0.0,0.0,0.0
2030,5.3360209,5.04524,24.01271,16.3327,12.42,34.625208,14.697458000000001,0.0,0.0,0.0
2035,5.3360209,2.81574,27.068241,15.903979999999999,12.42,39.805127,16.907906,0.0,0.0,0.0
2040,5.3360209,2.4444,30.539416000000003,5.02332,12.42,44.647529000000006,18.98883,0.0,0.0,0.0
2045,5.3360209,2.35704,33.928940000000004,0.6888,12.42,49.557610000000004,21.094405,0.0,0.0,0.0
2050,5.3360209,2.2556,37.938466999999996,0.6888,12.42,53.953784,23.0128,0.0,0.0,0.0
2025,0.0,7.5059,1.5174754000000001,16.3716,12.42,0.2672,8.5509715,0.0,0.0,0.0
2030,7.8909806,5.04524,19.881413000000002,16.3327,12.42,30.001485,13.950705,0.0,0.0,0.0
2035,8.0481546,2.81574,22.982742,15.903979999999999,12.42,34.602598,16.301292,0.0,0.0,0.0
2040,8.0752416,2.4444,26.838895,5.02332,12.42,39.238684,18.665271,0.0,0.0,0.0
2045,8.0752416,2.35704,31.606279999999998,0.6888,12.42,43.191413,20.790786,0.0,0.0,0.0
2050,8.0752416,2.2556,35.806225,0.6888,12.42,47.647856,23.100452,0.0,0.0,0.0
2025,0.0,7.5059,1.0809563,16.3716,12.42,0.2672,8.8950414,0.0,0.0,0.0
2030,4.9924598,5.04524,22.417928,16.3327,12.42,37.561879,15.202297,0.0,0.0,0.0
2035,4.9924598,2.81574,25.898968,15.903979999999999,12.42,42.49486,17.183607,1.4944815e-10,0.0,0.0
2040,4.9924598,2.4444,29.817507000000003,5.02332,12.42,47.079347,19.043235,1.4944815e-10,0.0,0.0
2045,4.9924598,2.35704,33.730511,0.6888,12.42,51.670818,20.904034,1.4944815e-10,0.0,0.0
2050,4.9924598,2.2556,37.700288,0.6888,12.42,56.215795,22.749223999999998,1.4967415999999998e-10,0.0,0.0
2025,0.0,7.5059,1.4787926,16.3716,12.42,0.2672,9.5580036,0.0,0.0,0.0
2030,3.5379178000000002,5.04524,17.992587,16.3327,12.42,31.659574,8.8786436,3.55918,0.0,0.0
2035,3.5379178000000002,2.81574,18.741009,15.903979999999999,12.42,34.165266,9.440402200000001,4.330555,0.0,0.0
2040,3.5379178000000002,2.4444,21.796354,5.02332,12.42,40.777052000000005,11.246464,4.330555,0.0,0.0
2045,3.5379178000000002,2.35704,25.078147,0.6888,12.42,47.160006,13.062529,4.330555,0.0,0.0
2050,3.7420098,2.2556,28.5583,0.6888,12.42,52.103156000000006,14.703021000000001,4.330555,0.0,0.0
2025,0.0,7.5059,1.3582545,16.3716,12.42,0.2672,8.305191,0.0,0.0,0.0
2030,4.1979627,5.04524,17.376223000000003,16.3327,12.42,33.316435,7.625831,3.1778267999999996,0.0,0.0
2035,4.1979627,2.81574,18.42248,15.903979999999999,12.42,36.137449000000004,8.222505499999999,3.8876948000000002,0.0,0.0
2040,4.1979627,2.4444,22.201989,5.02332,12.42,42.285483,9.7691526,3.8876948000000002,0.0,0.0
2045,4.1979627,2.35704,25.67694,0.6888,12.42,48.883705,11.313345,3.8876948000000002,0.0,0.0
2050,4.1979627,2.2556,29.632719,0.6888,12.42,54.939173000000004,12.840851,3.8876948000000002,0.0,0.0
