year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2030,5.04524,9.4289058,16.3327,12.42,7.0770921,5.61546,9.5519503
2035,2.81574,9.4128258,15.903979999999999,12.42,7.0562721,3.21062,10.999103999999999
2040,2.4444,8.9901678,5.02332,12.42,7.0383321,2.39732,12.469168
2045,2.35704,8.6804864,0.6888,12.42,6.8410921,1.4112101,14.013034
2050,2.2556,10.367246999999999,0.6888,12.42,7.9574326,3.4957211999999998,14.263577999999999
2025,7.5059,0.6978110900000001,16.3716,12.42,0.2672,6.29482,0.88307998
2030,5.04524,9.3174542,16.3327,12.42,8.548571599999999,5.61546,9.4475116
2035,2.81574,9.3013742,15.903979999999999,12.42,8.5277516,3.21062,10.845915000000002
2040,2.4444,8.7316631,5.02332,12.42,8.5098116,2.1891527,12.416452
2045,2.35704,7.834967,0.6888,12.42,8.3125716,0.6182364300000001,14.225530000000001
2050,2.2556,9.648289199999999,0.6888,12.42,9.363395899999999,2.598237,14.478041
2025,7.5059,0.44582832,16.3716,12.42,0.2672,6.29482,1.0172686
2030,5.04524,9.3959543,16.3327,12.42,6.2409327999999995,5.61546,9.8043718
2035,2.81574,9.379874299999999,15.903979999999999,12.42,6.2201128,3.21062,11.225223
2040,2.4444,9.062146,5.02332,12.42,6.2021728000000005,2.1581538,12.717295
2045,2.35704,8.0264613,0.6888,12.42,6.449173399999999,0.34634313,14.469456000000001
2050,2.2556,8.3608972,0.6888,12.42,6.7178889,0.3607741,15.58985
2025,7.5059,0.44597818,16.3716,12.42,0.2672,6.29482,1.0828815
2030,5.04524,9.0359387,16.3327,12.42,8.2869833,5.61546,9.8113366
2035,2.81574,9.341415000000001,15.903979999999999,12.42,8.2661633,3.21062,11.100441
2040,2.4444,9.0658107,5.02332,12.42,8.2482233,1.91224,12.588681000000001
2045,2.35704,9.0809684,0.6888,12.42,8.0509833,1.4713150000000002,13.936554
2050,2.2556,10.188203,0.6888,12.42,8.0215833,2.2651658,14.736223
2025,7.5059,0.38678846,16.3716,12.42,0.2672,6.29482,0.8304801599999999
2030,5.04524,8.899299000000001,16.3327,12.42,8.5509614,5.61546,9.5752574
2035,2.81574,8.9577088,15.903979999999999,12.42,8.5301414,3.21062,10.972754
2040,2.4444,8.6990204,5.02332,12.42,8.5122014,2.4142722,12.439681
2045,2.35704,9.6811254,0.6888,12.42,8.3149614,2.9968849,13.334076
2050,2.2556,10.084506,0.6888,12.42,8.6614181,3.1217550999999997,14.407162
2025,7.5059,0.29691133999999997,16.3716,12.42,0.2672,6.29482,0.8889481100000001
2030,5.04524,9.0750139,16.3327,12.42,7.3244355,5.61546,9.7832
2035,2.81574,9.1206838,15.903979999999999,12.42,7.3036155,3.21062,11.191172
2040,2.4444,8.951872400000001,5.02332,12.42,7.2856755,2.3177950999999997,12.650628000000001
2045,2.35704,8.363094199999999,0.6888,12.42,7.088435499999999,0.73836903,14.375624
2050,2.2556,9.461000700000001,0.6888,12.42,7.0590355,1.8438689,15.119264
2025,7.5059,0.5955882699999999,16.3716,12.42,0.2672,6.29482,0.85879423
2030,5.04524,9.120565899999999,16.3327,12.42,9.9285817,5.61546,9.5907979
2035,2.81574,9.5489891,15.903979999999999,12.42,9.907761699999998,3.21062,10.821155000000001
2040,2.4444,9.3104761,5.02332,12.42,9.8898217,2.2383618000000003,12.247361000000001
2045,2.35704,9.905191199999999,0.6888,12.42,9.6925817,2.3960584,13.318427
2050,2.2556,10.313947,0.6888,12.42,9.663181699999999,2.4116774999999997,14.453947
2025,7.5059,0.7487936999999999,16.3716,12.42,0.2672,6.29482,0.82569439
2030,5.04524,9.173352300000001,16.3327,12.42,6.7712775,5.61546,9.8484014
2035,2.81574,9.3153656,15.903979999999999,12.42,6.7504575,3.21062,11.252632
2040,2.4444,8.9935306,5.02332,12.42,6.7325175,1.91224,12.784955
2045,2.35704,8.2311118,0.6888,12.42,6.5352775,0.30747596,14.550201999999999
2050,2.2556,9.7413489,0.6888,12.42,6.5058774999999995,1.6155582,15.162945
