,Steam Production (klbs),CWS,TES
2019-08-24 05:00:00,162.45856116666667,9684.688183333501,0.0
2019-08-24 06:00:00,163.84831091666666,9806.637566666834,0.0
2019-08-24 07:00:00,164.06559149999995,10793.931816664997,0.0
2019-08-24 08:00:00,161.63670858333325,11521.62661111,1299.7888590775617
2019-08-24 09:00:00,162.65172674999994,11115.364305553328,2982.1516430559996
2019-08-24 10:00:00,163.40739566666667,11137.143999998332,3699.6268616668335
2019-08-24 11:00:00,160.37851300000005,11285.868861113333,3898.5725363893334
2019-08-24 12:00:00,159.63531700000001,11852.710750003333,3984.2832808330004
2019-08-24 13:00:00,157.85570175,12446.893805554997,4440.514286666498
2019-08-24 14:00:00,157.5725745833333,12804.266,4441.572771944166
2019-08-24 15:00:00,155.7258316666667,12850.592,4415.575690833666
2019-08-24 16:00:00,155.96772791666672,13216.287333333334,2990.223113889166
2019-08-24 17:00:00,158.57220641666663,14648.289111113334,274.01122913905
2019-08-24 18:00:00,161.20946525,19485.87761111333,-2536.6170469718954
2019-08-24 19:00:00,159.9709466666667,22416.934166666666,-5401.885684999833
2019-08-24 20:00:00,159.73190341666668,22805.38427776833,-6903.101879999498
2019-08-24 21:00:00,156.21271597221664,21920.934708338333,-6924.975016944002
2019-08-24 22:00:00,155.0376620000001,22148.779277776663,-7614.838183611002
2019-08-24 23:00:00,162.31284966666666,21546.991277775003,-7617.5144991669995
2019-08-25 00:00:00,154.7361735,21312.901444444997,-7602.6092280561625
2019-08-25 01:00:00,150.09987041666668,21605.27086111166,-7560.783559166668
2019-08-25 02:00:00,150.87486658333327,21303.092916665,-6765.540769722168
2019-08-25 03:00:00,153.7342050833333,20362.847277781668,-3906.3352833333342
2019-08-25 04:00:00,152.9088448333333,16960.11311111166,-537.5227623612499
2019-08-25 05:00:00,157.11287166666665,18157.500694445,-15.220685874995
2019-08-25 06:00:00,163.883938,19949.37263889167,0.0
2019-08-25 07:00:00,161.88567374999994,18774.26527777833,2798.5433644669943
2019-08-25 08:00:00,149.95356158333334,15522.894333335007,5524.6909380550005
2019-08-25 09:00:00,150.90522433333328,15285.777472221665,6511.2478427774995
2019-08-25 10:00:00,150.58265125,16283.224583326675,6707.859220277003
2019-08-25 11:00:00,149.63780158333333,16523.93408333,7318.054106666834
2019-08-25 12:00:00,148.35131458333336,16600.06077777166,7287.337331944334
2019-08-25 13:00:00,149.1728686666667,16733.343749996668,7187.759955555666
2019-08-25 14:00:00,150.34435999999997,17674.054888890005,7263.155196667499
2019-08-25 15:00:00,145.00747933333332,19138.439194444996,6664.765747500166
2019-08-25 16:00:00,146.60310316666664,18820.997861113337,5994.883926388999
2019-08-25 17:00:00,146.5818145833333,18738.430166663336,5004.631920000164
2019-08-25 18:00:00,148.31099908333334,20841.288361104995,492.9672651668333
2019-08-25 19:00:00,148.31618816666665,22073.39369444333,-1443.8200061666168
2019-08-25 20:00:00,148.84225741666663,24794.572305553345,-5220.666846388999
2019-08-25 21:00:00,161.34898383333336,24830.23536111333,-6858.949039721335
2019-08-25 22:00:00,168.5566976666667,24574.752527776676,-7011.588722222665
2019-08-25 23:00:00,163.11421125000004,24045.756000003345,-7590.372196666167
2019-08-26 00:00:00,154.32583233333327,23495.978972225003,-7567.837035555336
2019-08-26 01:00:00,153.57184958333332,22991.42863888501,-7585.642035277831
2019-08-26 02:00:00,153.59980758333327,22277.62366666001,-6914.984573055664
2019-08-26 03:00:00,156.3083475,22057.43244444333,-6917.661330277999
2019-08-26 04:00:00,154.06071133333336,22407.71380555334,-6885.588053888666
2019-08-26 05:00:00,160.97478091666665,23802.241972220007,-5384.980246667002
2019-08-26 06:00:00,169.0847443333333,21498.54505555334,-1802.2142840830502
2019-08-26 07:00:00,173.95287249999998,18878.303083335,-47.960912566188334
2019-08-26 08:00:00,175.6360384166667,16842.614361113338,2975.645419750167
2019-08-26 09:00:00,171.66296691666668,17349.823722223326,2998.9366947221665
2019-08-26 10:00:00,167.98053016666668,17943.646638891667,2960.7517627780003
2019-08-26 11:00:00,164.99812108333336,18495.483499995007,2993.3017819446673
2019-08-26 12:00:00,167.0653458333334,18681.05672221833,3031.762434999999
2019-08-26 13:00:00,166.10903941666672,18634.917805556666,3018.373324166499
2019-08-26 14:00:00,167.10176791666666,18477.219111116672,3020.2376283335007
2019-08-26 15:00:00,162.60634524999998,18350.114694446667,3007.2281847225004
2019-08-26 16:00:00,164.28721149999998,17858.963305551664,3010.9485480553326
2019-08-26 17:00:00,164.07685691666669,17929.840583333335,269.6325925557167
2019-08-26 18:00:00,166.04009399999998,17914.210666664996,0.0
2019-08-26 19:00:00,165.72243216666672,16413.630833333336,0.0
2019-08-26 20:00:00,166.4326141666667,15596.58561110333,0.0
2019-08-26 21:00:00,164.35336924445,15787.22646111,0.0
2019-08-26 22:00:00,162.86351108333335,14462.129749999998,0.0
